image,caption,id
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,1
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,2
coffee machine.jpg,coffee machine,3
Damro tea.jpg,Damro tea,4
Roomba_805_charging dock.jpg,Roomba_805_charging dock,5
television maker.jpg,television maker,6
Vacuum Cleaner.JPG,Vacuum Cleaner,7
Washing Machine.jpg,Washing Machine,8
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,9
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,10
coffee machine.jpg,coffee machine,11
Damro tea.jpg,Damro tea,12
Roomba_805_charging dock.jpg,Roomba_805_charging dock,13
television maker.jpg,television maker,14
Vacuum Cleaner.JPG,Vacuum Cleaner,15
Washing Machine.jpg,Washing Machine,16
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,17
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,18
coffee machine.jpg,coffee machine,19
Damro tea.jpg,Damro tea,20
Roomba_805_charging dock.jpg,Roomba_805_charging dock,21
television maker.jpg,television maker,22
Vacuum Cleaner.JPG,Vacuum Cleaner,23
Washing Machine.jpg,Washing Machine,24
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,25
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,26
coffee machine.jpg,coffee machine,27
Damro tea.jpg,Damro tea,28
Roomba_805_charging dock.jpg,Roomba_805_charging dock,29
television maker.jpg,television maker,30
Vacuum Cleaner.JPG,Vacuum Cleaner,31
Washing Machine.jpg,Washing Machine,32
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,33
Braava 380t damp cleaning.jpg,Braava 380t damp cleaning,34
coffee machine.jpg,coffee machine,35
Damro tea.jpg,Damro tea,36
Roomba_805_charging dock.jpg,Roomba_805_charging dock,37
television maker.jpg,television maker,38
Vacuum Cleaner.JPG,Vacuum Cleaner,39
Washing Machine.jpg,Washing Machine,40
An unmodified iRobot Create with Command Module.jpg,An unmodified iRobot Create with Command Module,41
